entity_id_a,entity_id_b,name_a,name_b,bn_root_a,bn_root_b,province_a,province_b,total_flow_a,total_flow_b,edit_type,name_similarity_score
8300,355092,THE TERRY FOX FOUNDATION,TERRY FOX FOUNDATION,108099979,108099970,BC,SK,301369262.0,100.0,substitution,100.0
8300,414426,THE TERRY FOX FOUNDATION,TERRY FOX FOUNDATION,108099979,108099879,BC,ON,301369262.0,75.0,substitution,100.0
378,394025,FONDATION DE L'INSTITUT DE CARDIOLOGIE DE MONTREAL/MONTREAL HEART INSTITUTE FOUNDATION,FONDATION DE I'INSTITUT DE CARDIOLOGIE DE MONTRÉAL,101837896,108837896,QC,,241357115.0,0.0,substitution,93.5
103943,375342,University of Calgary,UNIVERSITY OF CALGARY,108102064,108102964,AB,AB,230044734.70999998,30000.0,substitution,100.0
63155,306967,FONDATION DU CENTRE HOSPITALIER DE L'UNIVERSITE DE MONTREAL,FONDATION DU CHUM(CENTRE HOSPITALIER-UNIVERSITÉ DE MONTRÉAL),883429961,883429661,QC,,224275394.0,1780.0,substitution,91.6
97463,413152,THE CANADIAN RED CROSS SOCIETY,Canadian Red Cross,119291814,119191814,ON,SK,217853915.71,16000.0,substitution,100.0
97463,374077,THE CANADIAN RED CROSS SOCIETY,CANADIAN RED CROSS,119291814,119211814,ON,ON,217853915.71,500.0,substitution,100.0
44830,378314,HUMANITARIAN COALITION /,THE HUMANITARIAN COALITION,831590666,083159066,ON,QC,210618547.0,157130.0,insertion_deletion,100.0
25804,320417,MACKENZIE HEALTH FOUNDATION,Mackenzie Health Foundation,119306215,119306218,ON,BC,209642239.0,500.0,substitution,100.0
6409,313055,THE PENTECOSTAL ASSEMBLIES OF CANADA/LES ASSEMBLEES DE LA PENTECOTE DU CANADA,Pentecostal Assemblies of Canada,107833295,107853295,ON,BC,187110932.0,2789396.0,substitution,100.0
6409,379692,THE PENTECOSTAL ASSEMBLIES OF CANADA/LES ASSEMBLEES DE LA PENTECOTE DU CANADA,THE PENECOSTAL ASSEMBLIES OF CANADA,107833295,107833292,ON,ON,187110932.0,25006.0,substitution,98.2
6409,356237,THE PENTECOSTAL ASSEMBLIES OF CANADA/LES ASSEMBLEES DE LA PENTECOTE DU CANADA,PENETECOSTAL ASSEMBLIES OF CANADA,107833295,107633295,ON,ON,187110932.0,4668.0,substitution,98.3
6409,422339,THE PENTECOSTAL ASSEMBLIES OF CANADA/LES ASSEMBLEES DE LA PENTECOTE DU CANADA,PENTECOSTAL ASSEMBLIES OF CANADA,107833295,107833265,ON,SK,187110932.0,2600.0,substitution,100.0
6409,404573,THE PENTECOSTAL ASSEMBLIES OF CANADA/LES ASSEMBLEES DE LA PENTECOTE DU CANADA,PAOC - THE PENTECOSTAL ASSEBLIES OF CANADA,107833295,107833255,ON,ON,187110932.0,1790.0,substitution,90.3
32591,307565,THE CHRISTIAN AND MISSIONARY ALLIANCE IN CANADA/ L'ALLIANCE CHRETIENNE ET MISSIONNAIRE AU CANADA,ALLIANCE CHRÉTIENNE ET MISSIONNAIRE AU CANADA,133063859,113063859,ON,ON,185563570.0,410565.0,substitution,97.7
