source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
12703017,BC,corporations_canada,Canadian Socialist Rifle Association,Association Canadienne Socialiste pour les Armes à Feu,101-1983 Commercial Drive,V5N4A8,Vancouver,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,41.0958904109589,,,,,,needs_review,354171,CANADIAN PRECAST / PRESTRESSED CONCRETE INSTITUTE,75.0,75.0,1,38063.0,mid_band_score,,,
15155118,ON,corporations_canada,Fondation O soley,,110 Macara Crescent,K2K0E1,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.0,,,,,,needs_review,,,,,,,no_blocking_key,,,
233901,BC,corporations_canada,Canadian Ball Hockey Association,,2700 - 700 West Georgia Street,V7Y1B8,Vancouver,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,28.57142857142857,,,,,,needs_review,274018,CANADIAN BLIND HOCKEY,87.8048780487805,85.71428571428572,1,200000.0,mid_band_score,,,
14693426,AB,corporations_canada,The Bromeliad Foundation,,78 Royal Birkdale Crescent NW,T3G5R6,Calgary,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,41.666666666666664,,,,,,needs_review,209389,BROME LAKE THEATRE / THEATRE DU LAC BROME,77.77777777777779,77.77777777777779,4,83900.0,mid_band_score,,,
14587090,ON,corporations_canada,susvara foundation,,650 Parliament Street,M4X1R3,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,33.333333333333336,,,,,,needs_review,,,,,,,no_blocking_key,,,
14544684,ON,corporations_canada,Toronto Fire Historical Society,,14 Cosentino Drive,M1P3A2,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,55.55555555555556,,,,,,needs_review,349483,Toronto Fire Services,77.27272727272727,70.27027027027026,1,553500.0,mid_band_score,,,
14554213,QC,corporations_canada,Montreal International Film Festival,,1400 rue Ottawa #316b,H3C0Y9,Montreal,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,69.23076923076923,,,,,,needs_review,133202,MONTREAL INTERNATIONAL BLACK FILM FESTIVAL / FESTIVAL INTERNATIONAL DU FILM BLACK DE MONTRÉAL,81.25,81.25,6,266900.0,mid_band_score,,,
15102812,ON,corporations_canada,Sustainable Community Solutions Canada,,A - 428 Sunnyside Avenue,K1S0S7,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,62.96296296296296,,,,,,needs_review,201175,Sustainable Resource Solutions ltd.,78.68852459016394,76.19047619047619,1,14175.0,mid_band_score,,,
14752406,ON,corporations_canada,South Asian Community Taskforce,,22 Crossovers Street,M4E3X4,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.74626865671642,,,,,,needs_review,337701,South Asian Community Support Canada,83.33333333333334,83.33333333333334,1,8859.0,mid_band_score,,,
14827201,ON,corporations_canada,Éditions Malaika,,5330 Canotek Road,K2P0R9,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,56.41025641025641,,,,,,needs_review,126824,LES ÉDITIONS LES MALINS INC.,83.87096774193549,83.87096774193549,11,2439189.0,mid_band_score,,,
