category,recipient_legal_name,business_number,city,province,n_grants,total_cad,first_year,last_year,example_funder,receipt_description_snippet,receipt_ref_number,entity_id,match_method,entity_kind,bn_root,latest_revenue,fiscal_period_end
emergency_shelter,Action séro zéro,,Montréal,QC,1,25980.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00044,241207,unmatched_new,other_org,,,
supportive_housing,Association d'entraide le Chaînon,,Montréal,QC,1,25851.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00180,150609,unmatched_new,other_org,,,
emergency_shelter,Association d'entraide le Chaînon,,Montréal,QC,1,25851.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00180,150609,unmatched_new,other_org,,,
supportive_housing,La Maison des Amis du Plateau Mont-Royal inc.,,Montréal,QC,1,25101.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00040,189521,unmatched_new,other_org,,,
emergency_shelter,La Maison des Amis du Plateau Mont-Royal inc.,,Montréal,QC,1,25101.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00040,189521,unmatched_new,other_org,,,
supportive_housing,"Saskatoon Housing Initiatives Program, Inc",,Saskatoon,SK,1,25000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00258,150901,unmatched_new,other_org,,,
emergency_shelter,"Saskatoon Housing Initiatives Program, Inc",,Saskatoon,SK,1,25000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00258,150901,unmatched_new,other_org,,,
emergency_shelter,L’Union Féminine Libre (UFL),,Rabat | Rabat,,1,20000.0,2021,2021,Global Affairs Canada | Affaires mondiales Canada,Providing the El Hasnae emergency shelter with a total of 10 beds for a maximum stay of 20 days. The goal is to provide shelter and to listen to and provide psychological legal assistance to survivors of GBV.,064-2022-2023-Q1-00179,240776,unmatched_new,other_org,,,
transitional_housing,The Governing Council of the Salvation Army in Canada,107951618,Toronto,ON,1,17550.0,2021,2021,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,"The objective of this project is to purchase and install a steam kettle to better serve the homeless population, those in transitional housing, as well as enhancing emergency response capacity.",5235-2021-2022-Q4-00298,316734,unmatched_new,other_org,,,
supportive_housing,The Salvation Army Prince Albert,,Prince Albert,SK,1,13000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00024,334364,unmatched_new,other_org,,,
emergency_shelter,The Salvation Army Prince Albert,,Prince Albert,SK,1,13000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00024,334364,unmatched_new,other_org,,,
